Player,Pos,Squad,Age,MP,Min,Gls,Ast,xG,SoT
Benjamin Bouchouari,MF,Saint-Étienne,22.0,25,1772,1,0,0.6,3
Hicham Boudaoui,MF,Nice,24.0,29,2435,2,3,2.7,18
Carlo Boukhalfa,MF,St. Pauli,25.0,25,1646,2,0,1.5,4
Justin Bourgault,DF,Brest,18.0,2,122,1,0,0.1,1
Benjamin Bourigeaud,MF,Rennes,30.0,1,80,1,0,0.2,1
Edoardo Bove,"MF,FW",Fiorentina,22.0,11,836,1,2,0.6,2
Jarrod Bowen,"FW,MF",West Ham,27.0,34,2973,13,8,8.6,36
Enzo Boyomo,DF,Osasuna,22.0,34,2987,2,0,1.5,3
Enzo Boyomo,DF,Valladolid,22.0,3,270,0,0,0.1,0
Domagoj Bradarić,DF,Hellas Verona,24.0,28,1933,1,0,0.8,4
Conor Bradley,DF,Liverpool,21.0,19,754,0,2,0.7,3
Bilal Brahimi,MF,Nice,24.0,2,76,0,0,0.0,1
Julian Brandt,MF,Dortmund,28.0,30,2303,5,10,4.8,15
Jarrad Branthwaite,DF,Everton,22.0,30,2511,0,1,1.2,3
Darko Brašanac,MF,Leganés,32.0,30,1617,1,2,1.8,3
Lilian Brassier,DF,Marseille,24.0,12,779,0,0,0.2,1
Lilian Brassier,DF,Rennes,24.0,14,1234,1,1,1.5,1
Matthias Braunöder,MF,Como,22.0,8,268,0,0,0.1,0
Iker Bravo,"FW,MF",Udinese,19.0,29,682,2,1,0.9,3
James Bree,DF,Southampton,26.0,17,1075,0,1,0.1,1
Tim Breithaupt,MF,Augsburg,22.0,2,120,0,1,0.1,0
Gleison Bremer,DF,Juventus,27.0,6,540,0,0,0.1,0
Brenner,"MF,FW",Udinese,24.0,9,386,1,2,0.6,4
Ben Brereton,FW,Southampton,25.0,10,449,0,0,0.9,1
Marco Brescianini,MF,Atalanta,24.0,29,991,4,2,3.1,8
Maximilian Breunig,"FW,MF",Heidenheim,23.0,13,350,2,0,3.4,2
Anthony Briançon,DF,Saint-Étienne,29.0,1,1,0,0,0.0,0
Nathan Broadhead,"MF,FW",Ipswich Town,26.0,18,702,2,0,1.7,8
Armando Broja,FW,Everton,22.0,10,334,0,0,0.1,0
David Brooks,"FW,MF",Bournemouth,27.0,29,960,2,0,2.5,12
Arvid Brorsson,DF,Monza,25.0,6,362,0,0,0.0,0
Moritz Broschinski,"FW,MF",Bochum,23.0,33,1390,1,3,4.2,11
Nathaniel Brown,"DF,MF",Eint Frankfurt,21.0,26,1947,3,6,2.2,5
Jacob Bruun Larsen,"FW,MF",Hoffenheim,25.0,12,400,2,2,2.3,6
Jacob Bruun Larsen,"MF,FW",Stuttgart,25.0,15,414,1,0,0.6,3
Tajon Buchanan,"DF,FW",Inter,25.0,6,95,0,0,0.0,0
Tajon Buchanan,MF,Villarreal,25.0,13,416,1,2,0.9,2
Ante Budimir,FW,Osasuna,33.0,38,2952,21,4,18.3,29
Emi Buendía,"MF,FW",Aston Villa,27.0,12,98,0,0,0.7,0
Emi Buendía,MF,Leverkusen,27.0,11,257,2,0,0.9,4
Manu Bueno,"MF,FW",Sevilla,20.0,9,140,1,0,0.1,1
Santiago Bueno,DF,Wolves,25.0,29,1687,0,0,0.4,3
Endika Buján,FW,Athletic Club,21.0,1,7,0,0,0.0,0
Marius Bülter,"FW,DF",Hoffenheim,31.0,25,1729,7,2,3.7,15
Facundo Buonanotte,"FW,MF",Leicester City,19.0,31,1523,5,2,3.9,12
Alessandro Buongiorno,DF,Napoli,25.0,22,1924,1,0,0.8,4
Cameron Burgess,DF,Ipswich Town,28.0,18,1541,0,2,1.1,2
Jonathan Burkardt,FW,Mainz 05,24.0,29,2109,18,2,14.8,28
Oliver Burke,FW,Werder Bremen,27.0,25,908,5,0,4.1,12
Dan Burn,DF,Newcastle Utd,32.0,37,3330,1,1,2.0,7
Rareș-Cătălin Burnete,FW,Lecce,20.0,4,28,0,0,0.1,0
Wes Burns,"FW,DF",Ipswich Town,29.0,18,926,0,1,0.5,1
Marnon Busch,"DF,MF",Heidenheim,29.0,23,1396,0,1,0.4,3
Gianluca Busio,MF,Venezia,22.0,33,2518,2,0,2.4,7
Aurélio Buta,DF,Reims,27.0,27,1970,0,1,0.3,1
Jean Butez,GK,Como,29.0,19,1666,0,0,0.0,0
Nathan Butler-Oyedeji,FW,Arsenal,21.0,1,7,0,0,0.1,1
Marcin Bułka,GK,Nice,24.0,34,3060,0,0,0.0,0
Pau Cabanes,"MF,FW",Villarreal,19.0,10,163,1,0,0.5,2
Pau Cabanes,"MF,FW",Alavés,19.0,6,188,0,0,0.0,1
Rémy Cabella,"FW,MF",Lille,34.0,23,1011,1,2,4.0,7
Leandro Cabrera,DF,Espanyol,33.0,33,2869,4,2,1.1,6
Liberato Cacace,"MF,DF",Empoli,23.0,33,2230,2,4,2.6,9
Alessio Cacciamani,"MF,DF",Torino,17.0,2,31,0,0,0.0,0
Anthony Caci,DF,Mainz 05,27.0,33,2684,1,7,3.1,12
Mathieu Cafaro,"MF,FW",Saint-Étienne,27.0,15,732,1,0,1.5,10
Moisés Caicedo,"MF,DF",Chelsea,22.0,38,3351,1,2,0.8,3
Tom Cairney,MF,Fulham,33.0,25,628,2,0,0.8,4
Jens Cajuste,MF,Ipswich Town,24.0,30,1959,1,1,0.7,1
Davide Calabria,DF,Bologna,27.0,11,632,0,1,0.1,0
Davide Calabria,DF,Milan,27.0,7,316,0,0,0.3,0
Riccardo Calafiori,DF,Arsenal,22.0,19,983,2,1,0.9,6
Luca Caldirola,DF,Monza,33.0,14,876,0,0,0.3,2
Fernando Calero,"DF,MF",Espanyol,28.0,21,715,1,0,0.3,1
Duje Ćaleta-Car,DF,Lyon,27.0,19,1584,1,0,2.1,1
Hakan Çalhanoğlu,MF,Inter,30.0,28,1879,5,6,4.4,12
Dominic Calvert-Lewin,FW,Everton,27.0,26,1609,3,1,6.7,19
Drissa Camara,"MF,FW",Parma,22.0,21,447,0,0,1.2,5
Issiaga Camara,MF,Nice,19.0,4,20,0,0,0.0,0
Lamine Camara,MF,Monaco,20.0,29,2054,2,7,2.3,9
Mahdi Camara,"MF,FW",Brest,26.0,34,2659,5,3,4.1,19
Ousmane Camara,DF,Angers,21.0,3,252,0,0,0.1,0
Francesco Camarda,"FW,MF",Milan,16.0,10,206,0,0,0.6,1
Eduardo Camavinga,"MF,DF",Real Madrid,21.0,19,1102,1,2,0.4,2
Nicolò Cambiaghi,FW,Bologna,23.0,18,620,1,3,0.8,4
Andrea Cambiaso,"DF,FW",Juventus,24.0,33,2221,2,3,0.7,6
Axel Camblan,"MF,FW",Brest,20.0,2,26,0,0,0.0,0
Sergio Camello,FW,Rayo Vallecano,23.0,23,1134,3,2,4.1,9
José Campaña,MF,Las Palmas,31.0,25,1189,0,3,0.1,3
Thomas Campaniello,FW,Empoli,16.0,3,25,0,0,0.5,0
Cole Campbell,"MF,FW",Dortmund,18.0,4,22,0,0,0.0,0
Emre Can,"DF,MF",Dortmund,30.0,31,2105,3,0,2.0,1
Peio Canales,"MF,FW",Athletic Club,19.0,8,259,0,0,0.2,0
Matteo Cancellieri,"FW,MF",Parma,22.0,27,1424,3,0,2.7,7
Fali Candé,DF,Venezia,26.0,17,1530,1,1,1.1,2
Antonio Candela,DF,Venezia,24.0,14,1008,0,1,0.3,0
Antonio Candela,DF,Valladolid,24.0,12,906,0,0,0.0,0
Sergi Canós,"MF,FW",Valencia,27.0,17,370,0,1,0.5,3
Jaydee Canvot,"DF,MF",Toulouse,18.0,18,1106,0,0,0.2,1
Pierrick Capelle,MF,Angers,37.0,16,483,0,0,0.2,0
Gianluca Caprari,"MF,FW",Monza,31.0,34,1651,3,2,4.2,9
Elia Caprile,GK,Cagliari,22.0,18,1620,0,0,0.0,0
Elia Caprile,GK,Napoli,22.0,4,325,0,0,0.0,0
Gabin Capuano,FW,Lens,18.0,1,11,0,0,0.0,0
Francesco Caputo,FW,Empoli,36.0,1,6,0,0,0.0,0
Maxence Caqueret,MF,Como,24.0,18,1087,2,3,0.8,3
Maxence Caqueret,MF,Lyon,24.0,9,573,0,0,0.7,1
Simon Cara,"MF,FW",Montpellier,19.0,2,9,0,0,0.0,0
Andrea Carboni,DF,Monza,23.0,26,2191,0,1,0.3,1
Franco Carboni,DF,Venezia,21.0,8,226,0,0,0.0,0
Valentin Carboni,"MF,FW",Marseille,19.0,4,103,0,0,0.0,1
Dani Cárdenas,GK,Rayo Vallecano,27.0,6,540,0,0,0.0,0
Irvin Cardona,"FW,MF",Espanyol,26.0,16,606,1,1,1.1,3
Irvin Cardona,FW,Saint-Étienne,26.0,15,1063,5,3,4.5,10
Marc Cardona,"FW,DF",Las Palmas,29.0,11,132,0,0,0.4,0
Sergi Cardona,DF,Villarreal,25.0,35,2945,1,7,2.4,6
Johnny Cardoso,MF,Betis,22.0,28,2144,3,1,2.0,7
Tiago Cardoso,GK,Gladbach,18.0,5,380,0,0,0.0,0
Patrik Carlgren,GK,Nantes,32.0,5,417,0,0,0.0,0
Diego Carlos,DF,Aston Villa,31.0,10,830,0,0,0.6,1
José Carlos González,DF,Las Palmas,18.0,1,11,0,0,0.0,0
Carmona,DF,Sevilla,22.0,35,2942,0,0,0.5,4
Marco Carnesecchi,GK,Atalanta,24.0,34,3060,0,0,0.0,0
Sergio Carreira,"MF,DF",Celta Vigo,23.0,23,1656,0,4,0.6,3
Dani Carvajal,DF,Real Madrid,32.0,8,609,1,0,1.3,1
Fabio Carvalho,"FW,MF",Brentford,21.0,19,455,2,1,2.5,5
William Carvalho,MF,Betis,32.0,14,484,0,0,0.2,1
Cesare Casadei,MF,Torino,21.0,15,1017,1,1,1.2,7
Marc Casado,MF,Barcelona,20.0,23,1611,1,3,1.1,1
Nicolò Casale,DF,Bologna,26.0,15,900,0,1,0.5,1
Nicolò Casale,DF,Lazio,26.0,2,135,0,0,0.0,1
Casemiro,MF,Manchester Utd,32.0,24,1494,1,0,1.9,10
Kaelan Casey,DF,West Ham,19.0,1,1,0,0,0.0,0
Matty Cash,DF,Aston Villa,26.0,27,2070,1,1,0.5,6
Eiran Cashin,DF,Brighton,22.0,2,20,0,0,0.0,0
Josué Casimir,"FW,MF",Le Havre,22.0,27,1997,4,4,3.3,9
Federico Cassa,"MF,FW",Atalanta,18.0,2,14,0,0,0.0,0
Cristian Cásseres Jr.,MF,Toulouse,24.0,32,2696,1,3,1.0,5
Timothy Castagne,DF,Fulham,28.0,24,1649,0,1,0.4,3
Valentín Castellanos,FW,Lazio,25.0,29,2384,10,3,13.4,36
Jean-Charles Castelletto,"DF,MF",Nantes,29.0,30,2620,0,0,1.8,5
Santiago Castro,FW,Bologna,19.0,36,2294,8,4,7.7,20
Gaetano Castrovilli,MF,Monza,27.0,12,596,0,0,0.3,0
Gaetano Castrovilli,"MF,FW",Lazio,27.0,9,148,0,0,0.1,0
Danilo Cataldi,MF,Fiorentina,29.0,24,1712,3,0,1.1,5
Catena,DF,Osasuna,29.0,35,3074,1,3,2.2,5
Maximiliano Caufriez,DF,Valencia,27.0,1,90,0,0,0.0,0
Enzo Caumont,MF,Angers,20.0,2,34,0,0,0.0,0
Dani Ceballos,MF,Real Madrid,27.0,23,1215,0,0,0.4,2
Abdoulie Ceesay,FW,St. Pauli,20.0,7,60,0,0,0.0,0
Zeki Çelik,DF,Roma,27.0,31,2256,0,2,0.6,4
Fabien Centonze,DF,Nantes,28.0,7,265,0,0,0.0,0
Alberto Cerri,FW,Como,28.0,5,87,0,0,1.0,1
Franco Cervi,"FW,MF",Celta Vigo,30.0,7,273,0,0,0.0,0
Julian Chabot,DF,Stuttgart,26.0,31,2269,3,1,2.0,3
El Chadaille Bitshiabu,DF,RB Leipzig,19.0,21,1130,0,0,0.3,3
Fares Chaïbi,"MF,FW",Eint Frankfurt,21.0,26,1013,1,3,2.6,6
Trevoh Chalobah,DF,Crystal Palace,25.0,12,1060,3,0,1.2,4
Trevoh Chalobah,DF,Chelsea,25.0,13,910,0,1,0.8,2
Timothy Chandler,DF,Eint Frankfurt,34.0,3,24,0,0,0.0,0
Conor Chaplin,"MF,FW",Ipswich Town,27.0,22,857,1,1,1.5,3
Brendan Chardonnet,DF,Brest,29.0,27,2416,1,0,0.8,1
Gabriel Charpentier,FW,Parma,25.0,10,271,1,2,1.3,4
Raúl Chasco,DF,Valladolid,20.0,2,130,0,0,0.0,0
Anrie Chase,DF,Stuttgart,20.0,12,734,0,0,0.1,0
Pep Chavarría,"DF,FW",Rayo Vallecano,26.0,34,2585,0,1,1.2,3
Arthur Chaves,DF,Hoffenheim,23.0,26,2185,1,0,0.8,2
Jhoanner Chávez,"DF,MF",Lens,22.0,10,596,1,0,0.3,3
Walid Cheddira,FW,Napoli,26.0,1,12,0,0,0.0,0
Walid Cheddira,FW,Espanyol,26.0,22,640,1,1,1.0,4
Chema,MF,Real Madrid,19.0,2,12,0,0,0.0,0
Théo Chennahi,DF,Montpellier,19.0,4,181,0,0,0.2,0
Sidiki Cherif,FW,Angers,17.0,7,324,0,0,0.7,2
Rayan Cherki,"FW,MF",Lyon,20.0,30,2041,8,11,5.0,19
Youssef Chermiti,"FW,MF",Everton,20.0,4,45,0,0,0.1,1
Lucas Chevalier,GK,Lille,22.0,34,3060,0,0,0.0,0
Fabio Chiarodia,DF,Gladbach,19.0,16,379,1,0,0.3,1
Julián Chicco,"MF,DF",Leganés,26.0,14,302,0,1,0.5,1
Leandro Chichizola,GK,Parma,34.0,1,90,0,0,0.0,0
Federico Chiesa,FW,Liverpool,26.0,6,108,0,0,0.3,2
Ben Chilwell,DF,Crystal Palace,27.0,8,259,1,0,0.2,3
Chiquinho,MF,Wolves,24.0,1,7,0,0,0.0,0
Chiquinho,"MF,FW",Mallorca,24.0,8,146,0,0,0.3,2
Pedro Chirivella,MF,Nantes,27.0,30,2348,0,2,0.5,2
Joris Chotard,MF,Montpellier,22.0,26,1892,1,0,1.3,3
Hamza Choudhury,"MF,DF",Leicester City,26.0,4,131,0,0,0.0,0
Andreas Christensen,DF,Barcelona,28.0,5,254,0,0,0.0,0
Ryan Christie,MF,Bournemouth,29.0,29,2117,2,3,1.8,12
Carney Chukwuemeka,MF,Dortmund,20.0,10,253,1,0,0.6,2
Samuel Chukwueze,"FW,MF",Milan,25.0,26,925,3,2,2.7,8
Aaron Ciammaglichella,MF,Torino,19.0,1,1,0,0,0.0,0
Jasper Cillessen,GK,Las Palmas,35.0,27,2335,0,0,0.0,0
Giuseppe Ciocci,GK,Cagliari,22.0,1,9,0,0,0.0,0
Alessandro Circati,DF,Parma,20.0,6,540,0,0,0.3,0
Pathé Ciss,"MF,DF",Rayo Vallecano,30.0,33,2140,4,1,1.8,6
Alphadjo Cissè,"FW,MF",Hellas Verona,17.0,2,9,0,0,0.0,2
Djaoui Cissé,MF,Rennes,20.0,14,1121,1,0,0.4,7
Seydouba Cissé,MF,Leganés,23.0,34,2435,3,1,3.0,5
Yoann Cissé,MF,Auxerre,19.0,2,5,0,0,0.0,0
Patrick Ciurria,"MF,DF",Monza,29.0,21,1111,1,1,0.8,2
Harry Clarke,DF,Ipswich Town,23.0,7,379,0,0,0.1,1
Jack Clarke,"FW,MF",Ipswich Town,23.0,32,1181,0,4,1.2,2
Alexis Claude-Maurice,"MF,FW",Augsburg,26.0,28,2109,9,2,4.7,22
Jonathan Clauss,"DF,MF",Nice,31.0,28,2303,3,8,2.2,8
Silvi Clúa,MF,Girona,19.0,4,163,0,0,0.0,1
Nathaniel Clyne,"DF,MF",Crystal Palace,33.0,13,483,0,0,0.0,0
Conor Coady,DF,Leicester City,31.0,22,1714,1,0,0.4,2
Marcus Coco,DF,Nantes,28.0,20,951,0,1,0.1,0
Saúl Coco,DF,Torino,25.0,32,2845,2,0,1.2,5
Séamus Coleman,DF,Everton,35.0,5,215,0,0,0.6,1
Nathan Collins,DF,Brentford,23.0,38,3420,2,3,2.5,6
Nnamdi Collins,DF,Eint Frankfurt,20.0,24,1489,1,1,0.8,2
Toby Collyer,MF,Manchester Utd,20.0,6,179,0,0,0.2,0
Lorenzo Colombo,"FW,MF",Empoli,22.0,37,2233,6,2,5.9,18
Andrea Colpani,"FW,MF",Fiorentina,25.0,24,1432,2,1,2.7,12
Levi Colwill,DF,Chelsea,21.0,35,3149,2,1,1.9,4
Florinel Coman,"FW,MF",Cagliari,26.0,9,263,1,0,0.2,1
Kingsley Coman,FW,Bayern Munich,28.0,28,1282,5,4,4.3,17
Eray Cömert,"DF,MF",Valladolid,26.0,25,1779,0,0,0.9,1
Santi Comesaña,MF,Villarreal,27.0,35,2560,4,2,4.6,8
Pietro Comuzzo,DF,Fiorentina,19.0,32,2110,1,0,0.5,2
Francisco Conceição,"FW,MF",Juventus,21.0,26,1340,3,3,2.3,13
Diego Conde,GK,Villarreal,25.0,22,1962,0,1,0.0,0
Tomás Conechny,"FW,MF",Alavés,26.0,22,847,1,0,2.4,10
Alois Confais,MF,Le Havre,27.0,1,3,0,0,0.0,0
Sirlord Conteh,"FW,MF",Heidenheim,28.0,29,892,1,1,2.1,5
Lewis Cook,"MF,DF",Bournemouth,27.0,36,2978,1,3,0.9,4
Copete,DF,Mallorca,24.0,25,1528,0,0,0.5,2
Diego Coppola,DF,Hellas Verona,20.0,34,2927,2,0,0.7,4
Francis Coquelin,MF,Nantes,33.0,6,224,1,1,1.0,1
Iker Córdoba,DF,Valencia,18.0,2,15,0,0,0.0,0
Derek Cornelius,DF,Marseille,26.0,21,1420,0,0,0.9,1
Maxwel Cornet,FW,Southampton,27.0,2,72,0,0,0.2,0
Maxwel Cornet,"FW,MF",Genoa,27.0,7,246,2,1,1.0,3
Pierre Cornud,DF,Saint-Étienne,27.0,11,576,0,0,0.0,0
Ángel Correa,"FW,MF",Atlético Madrid,29.0,31,805,4,1,4.5,14
Joaquín Correa,"FW,MF",Inter,29.0,19,731,2,2,2.1,6
Thierry Correia,DF,Valencia,25.0,11,768,0,0,0.3,3
Alberto costa,DF,Juventus,20.0,9,357,0,1,0.6,0
Coba da Costa,"MF,FW",Getafe,22.0,19,1006,1,1,1.1,8
Danny da Costa,DF,Mainz 05,31.0,25,2006,0,1,0.1,1
David Costa,"MF,FW",Lens,23.0,11,352,0,0,1.2,2
Logan Costa,DF,Villarreal,23.0,32,2587,2,1,0.7,5
Logan Costa,DF,Toulouse,23.0,1,90,0,0,0.0,0
Samu Costa,MF,Mallorca,23.0,32,2649,0,2,1.8,8
Grégoire Coudert,GK,Brest,25.0,2,180,0,0,0.0,0
Vladimír Coufal,DF,West Ham,31.0,22,1067,0,0,0.3,2
Lassana Coulibaly,MF,Lecce,28.0,38,2667,1,0,0.8,3
Lasso Coulibaly,"FW,MF",Auxerre,21.0,3,45,1,0,0.3,2
Mamadou Coulibaly,MF,Monaco,20.0,1,8,0,0,0.1,0
Soumaïla Coulibaly,DF,Brest,20.0,7,438,0,0,0.2,0
Tanguy Coulibaly,"FW,MF",Montpellier,23.0,25,1485,3,0,3.5,13
Woyo Coulibaly,DF,Leicester City,25.0,4,109,0,0,0.0,1
Woyo Coulibaly,DF,Parma,25.0,14,1084,0,1,0.1,0
Marius Courcoul,"MF,DF",Angers,17.0,8,309,0,0,0.1,1
Thibaut Courtois,GK,Real Madrid,32.0,30,2700,0,0,0.0,0
Yan Couto,"DF,FW",Dortmund,22.0,21,895,0,0,0.3,2
Nicolas Cozza,"DF,MF",Nantes,25.0,27,2051,1,0,1.4,6
Aaron Cresswell,DF,West Ham,34.0,18,824,0,0,0.2,0
Charlie Cresswell,DF,Toulouse,21.0,31,2592,3,1,3.3,13
Bryan Cristante,MF,Roma,29.0,30,2045,4,2,2.1,7
Domen Črnigoj,MF,Venezia,28.0,8,136,0,0,0.1,0
Juan Cruz Armada,DF,Osasuna,32.0,25,1492,0,0,0.1,0
Juan Cruz,"FW,MF",Leganés,24.0,34,2257,5,4,2.7,14
Juan Cuadrado,"DF,MF",Atalanta,36.0,23,832,0,2,0.9,4
Pau Cubarsí,DF,Barcelona,17.0,35,2618,0,3,0.8,0
Cucho,FW,Betis,25.0,15,1139,5,1,3.8,11
Marc Cucurella,DF,Chelsea,26.0,36,2988,5,1,2.8,11
Jorge Cuenca,DF,Fulham,24.0,8,351,0,0,0.0,0
Matheus Cunha,"MF,FW",Wolves,25.0,33,2597,15,6,8.6,44
Patrick Cutrone,FW,Como,26.0,33,2047,7,4,7.1,26
Tomáš Čvančara,FW,Gladbach,23.0,28,831,2,0,3.8,9
Wylan Cyprien,MF,Parma,29.0,2,28,0,0,0.2,0
Danilo D'Ambrosio,DF,Monza,35.0,20,1095,0,1,0.5,4
Lucas Da Cunha,MF,Como,23.0,36,2613,3,2,2.0,14
Samuel Dahl,"DF,MF",Roma,24.0,2,43,0,0,0.0,0
Finn Dahmen,GK,Augsburg,26.0,19,1710,0,0,0.0,0
Thomas Dähne,GK,Holstein Kiel,30.0,9,810,0,0,0.0,0
Mahmoud Dahoud,MF,Eint Frankfurt,28.0,9,364,1,1,0.5,2
Patson Daka,"FW,MF",Leicester City,25.0,23,736,1,0,1.3,4
Ameen Al-Dakhil,DF,Stuttgart,22.0,7,432,0,0,0.1,0
Thijs Dallinga,FW,Bologna,23.0,31,1154,3,2,4.3,11
Diogo Dalot,DF,Manchester Utd,25.0,33,2814,0,3,2.0,5
Mikkel Damsgaard,"MF,FW",Brentford,24.0,38,2911,2,10,2.8,7
Maat Daniel Caprini,FW,Fiorentina,18.0,1,7,0,0,0.0,0
Flavius Daniliuc,DF,Hellas Verona,23.0,18,1004,0,0,0.1,1
Danilo,"MF,FW",Nott'ham Forest,23.0,8,275,0,0,0.0,0
Danilo,DF,Juventus,33.0,12,581,0,1,0.1,0
Arnaut Danjuma,FW,Villarreal,27.0,3,200,2,0,0.8,3
Arnaut Danjuma,"FW,MF",Girona,27.0,25,1335,2,0,3.6,14
Jayden Danns,MF,Liverpool,18.0,1,11,0,0,0.0,0
Kévin Danois,MF,Auxerre,20.0,22,1460,0,0,1.5,3
Kevin Danso,DF,Tottenham,25.0,10,842,0,0,0.4,3
Kevin Danso,DF,Lens,25.0,12,1080,0,0,0.5,2
Dante,DF,Nice,40.0,25,1964,0,0,0.5,2
Mohamed Daramy,FW,Reims,22.0,2,16,0,0,0.0,0
Bence Dárdai,MF,Wolfsburg,18.0,21,1304,1,1,1.0,1
Sergi Darder,"MF,FW",Mallorca,30.0,38,2744,2,6,2.1,9
Matteo Darmian,DF,Inter,34.0,29,1781,3,2,1.9,3
Lukas Daschner,"MF,FW",Bochum,25.0,14,412,1,1,2.7,4
Juan David Cabal,DF,Juventus,23.0,7,460,0,0,0.1,0
Jonathan David,FW,Lille,24.0,32,2554,16,5,16.2,28
Alphonso Davies,DF,Bayern Munich,23.0,19,1560,1,2,1.2,3
Ben Davies,DF,Tottenham,31.0,17,1331,0,0,0.3,1
Keinan Davis,FW,Udinese,26.0,23,1066,2,1,2.9,11
Leif Davis,DF,Ipswich Town,24.0,33,2743,1,2,1.0,2
Zuriko Davitashvili,"FW,MF",Saint-Étienne,23.0,33,2778,9,8,8.1,24
Paweł Dawidowicz,"DF,MF",Hellas Verona,29.0,26,1845,0,0,0.3,0
Craig Dawson,DF,Wolves,34.0,15,971,0,0,0.5,1
Kevin De Bruyne,"MF,FW",Manchester City,33.0,28,1702,4,7,5.1,15
Bobby De Cordova-Reid,FW,Leicester City,31.0,23,744,1,2,0.8,3
Charles De Ketelaere,"MF,FW",Atalanta,23.0,36,2070,7,7,7.3,20
Rodrigo De Paul,MF,Atlético Madrid,30.0,34,2106,3,5,1.3,4
Théo De Percin,GK,Auxerre,23.0,2,180,0,0,0.0,0
Mattia De Sciglio,DF,Empoli,31.0,16,769,1,0,0.6,3
Lorenzo De Silvestri,DF,Bologna,36.0,18,1060,1,0,0.8,4
Thibault De Smet,DF,Reims,26.0,5,192,0,0,0.1,0
Koni De Winter,DF,Genoa,22.0,25,2135,3,0,2.1,7
Amar Dedić,DF,Marseille,21.0,10,314,0,1,0.9,2
Alessandro Deiola,MF,Cagliari,28.0,29,1432,2,1,1.7,5
Romain Del Castillo,FW,Brest,28.0,26,1259,6,4,4.7,8
Enrico Del Prato,DF,Parma,24.0,34,2947,4,0,2.0,5
Thomas Delaine,DF,Strasbourg,32.0,2,9,0,0,0.0,0
Liam Delap,FW,Ipswich Town,21.0,37,2593,12,2,9.3,29
Fisayo Dele-Bashiru,"MF,FW",Lazio,23.0,20,947,3,1,1.1,5
Andy Delort,FW,Montpellier,32.0,9,607,0,0,1.3,6
Olivier Deman,DF,Werder Bremen,24.0,9,67,0,0,0.0,0
Ali Dembélé,DF,Torino,20.0,15,388,1,0,0.4,2
Ousmane Dembélé,FW,Paris S-G,27.0,29,1730,21,6,16.6,49
Ermedin Demirović,FW,Stuttgart,26.0,34,1855,15,1,14.1,27
Sepp van den Berg,DF,Brentford,22.0,31,2586,0,0,2.0,6
Rémy Descamps,GK,Lyon,28.0,1,90,0,0,0.0,0
Arthur Desmas,GK,Le Havre,30.0,18,1620,0,0,0.0,0
Justin Devenny,MF,Crystal Palace,20.0,23,507,1,1,0.8,6
Kiernan Dewsbury-Hall,"MF,FW",Chelsea,25.0,13,264,0,1,0.2,0
Michele Di Gregorio,GK,Juventus,27.0,33,2970,0,0,0.0,0
Giovanni Di Lorenzo,DF,Napoli,30.0,37,3330,3,2,2.8,6
Boulaye Dia,"MF,FW",Lazio,27.0,35,2177,9,3,7.1,19
Mouctar Diakhaby,DF,Valencia,27.0,13,653,2,0,1.5,4
Mamadou Diakhon,"FW,MF",Reims,18.0,28,858,2,1,1.0,8
Bafodé Diakité,DF,Lille,23.0,31,2766,4,1,2.3,7
Oumar Diakité,FW,Reims,20.0,26,1628,4,1,5.5,9
Amad Diallo,"MF,FW",Manchester Utd,22.0,26,1901,8,6,4.7,17
Assane Diao,"FW,MF",Como,18.0,15,1252,8,1,4.0,13
Assane Diao,FW,Betis,18.0,10,277,1,2,0.8,1
Habib Diarra,"MF,FW",Strasbourg,20.0,30,2352,4,5,3.3,10
Moussa Diarra,DF,Alavés,23.0,26,1866,0,0,0.0,0
Rúben Dias,DF,Manchester City,27.0,27,2271,0,0,1.5,7
Krépin Diatta,"DF,FW",Monaco,25.0,19,508,0,0,0.2,1
Kandet Diawara,FW,Le Havre,24.0,1,4,0,0,0.0,0
Mahamadou Diawara,MF,Le Havre,19.0,15,582,0,1,0.4,1
Mahamadou Diawara,MF,Lyon,19.0,2,16,0,0,0.0,0
Brahim Díaz,"FW,MF",Real Madrid,24.0,31,1385,4,2,5.3,15
Daniel Díaz,MF,Real Sociedad,18.0,1,10,0,0,0.0,0
Luis Díaz,FW,Liverpool,27.0,36,2399,13,5,12.0,30
Pedro Díaz,MF,Rayo Vallecano,26.0,26,1211,3,0,2.4,7
Tyler Dibling,"FW,MF",Southampton,18.0,33,1874,2,0,2.5,9
Diego,FW,Leganés,24.0,28,1195,3,0,3.8,9
Justin Diehl,"FW,DF",Stuttgart,19.0,6,104,1,0,1.0,1
Bamba Dieng,FW,Angers,24.0,18,532,3,0,3.1,6
Eric Dier,DF,Bayern Munich,30.0,21,1463,2,1,1.1,5
Lucas Digne,DF,Aston Villa,31.0,32,2351,0,4,0.8,3
Kembo Diliwidi,DF,Lens,18.0,1,4,0,0,0.0,0
Federico Dimarco,"DF,FW",Inter,26.0,32,2140,4,7,3.3,20
Stole Dimitrievski,GK,Valencia,30.0,4,360,0,0,0.0,0
Junior Dina Ebimbe,"MF,FW",Eint Frankfurt,23.0,7,293,0,1,0.9,0
Eren Dinkçi,"MF,FW",Freiburg,22.0,23,1196,0,3,1.1,3
Sinaly Diomande,DF,Auxerre,23.0,23,1945,3,2,1.1,4
Yan Diomandé,"MF,FW",Leganés,17.0,10,545,2,1,1.4,3
